chain_name,seed_id,message_id,transcription_survey_name,text,n,is_english
water,44,515,remaining-proximal-and-distal-1,mowweh,1,0
water,44,515,remaining-proximal-and-distal-1,mowwit,1,0
water,44,515,remaining-proximal-and-distal-1,mowwow,1,0
water,44,515,remaining-proximal-and-distal-1,mrowann,1,0
water,44,523,remaining-proximal-and-distal-1,chhewah,1,0
water,44,523,remaining-proximal-and-distal-1,chschsch,1,0
water,44,523,remaining-proximal-and-distal-1,churue,1,0
water,44,523,remaining-proximal-and-distal-1,chuwowe,1,0
water,44,523,remaining-proximal-and-distal-1,fewweh,1,0
water,44,523,remaining-proximal-and-distal-1,haafa,1,0
water,44,523,remaining-proximal-and-distal-1,haawaa,1,0
water,44,523,remaining-proximal-and-distal-1,howat,1,0
water,44,523,remaining-proximal-and-distal-1,psssht,1,0
water,44,523,remaining-proximal-and-distal-1,psssslrraan,1,0
water,44,523,remaining-proximal-and-distal-1,shehyah,1,0
water,44,523,remaining-proximal-and-distal-1,shh-wshh,1,0
water,44,523,remaining-proximal-and-distal-1,shhewht,1,0
water,44,523,remaining-proximal-and-distal-1,shhhshah,1,0
water,44,523,remaining-proximal-and-distal-1,shhuwsh,1,0
water,44,523,remaining-proximal-and-distal-1,shiushwa,1,0
water,44,523,remaining-proximal-and-distal-1,shsuh,1,0
water,44,523,remaining-proximal-and-distal-1,shuueeeh,1,0
water,44,523,remaining-proximal-and-distal-1,sis,1,1
water,44,523,remaining-proximal-and-distal-1,sssselsuw,1,0
water,44,523,remaining-proximal-and-distal-1,steambreath,1,0
water,44,523,remaining-proximal-and-distal-1,tshhh,1,0
water,44,523,remaining-proximal-and-distal-1,tssssuh,1,0
water,44,523,remaining-proximal-and-distal-1,zthrea,1,0
water,44,534,remaining-proximal-and-distal-1,whoosh,3,1
water,44,534,remaining-proximal-and-distal-1,woosh,3,0
water,44,534,remaining-proximal-and-distal-1,wush,2,0
water,44,534,remaining-proximal-and-distal-1,rooosh,1,0
water,44,534,remaining-proximal-and-distal-1,roosh,1,0
water,44,534,remaining-proximal-and-distal-1,rwwoosh,1,0
water,44,534,remaining-proximal-and-distal-1,swoosh,1,1
water,44,534,remaining-proximal-and-distal-1,uwoosh,1,0
water,44,534,remaining-proximal-and-distal-1,wersh,1,0
water,44,534,remaining-proximal-and-distal-1,wheush,1,0
water,44,534,remaining-proximal-and-distal-1,whoooosssh,1,0
water,44,534,remaining-proximal-and-distal-1,whooosh,1,0
water,44,534,remaining-proximal-and-distal-1,whooshh,1,0
water,44,534,remaining-proximal-and-distal-1,woooshe,1,0
water,44,534,remaining-proximal-and-distal-1,wooshhhh,1,0
water,44,534,remaining-proximal-and-distal-1,wshh,1,0
water,44,558,remaining-proximal-and-distal-1,ch-shhh,1,0
water,44,558,remaining-proximal-and-distal-1,cheew,1,0
water,44,558,remaining-proximal-and-distal-1,chhhhgtttt,1,0
water,44,558,remaining-proximal-and-distal-1,chhhhhhhhhh,1,0
water,44,558,remaining-proximal-and-distal-1,chht,1,0
water,44,558,remaining-proximal-and-distal-1,chiee,1,0
water,44,558,remaining-proximal-and-distal-1,chitte,1,0
water,44,558,remaining-proximal-and-distal-1,schhh,1,0
water,44,558,remaining-proximal-and-distal-1,schhhh,1,0
water,44,558,remaining-proximal-and-distal-1,schip,1,0
water,44,558,remaining-proximal-and-distal-1,shchhh,1,0
water,44,558,remaining-proximal-and-distal-1,sheet,1,1
water,44,558,remaining-proximal-and-distal-1,shhht,1,0
water,44,558,remaining-proximal-and-distal-1,shpritz,1,0
water,44,558,remaining-proximal-and-distal-1,tcht,1,0
water,44,558,remaining-proximal-and-distal-1,tikitshtikit,1,0
water,44,558,remaining-proximal-and-distal-1,tschh,1,0
water,44,558,remaining-proximal-and-distal-1,tshoet,1,0
water,44,558,remaining-proximal-and-distal-1,tshshsh,1,0
water,44,558,remaining-proximal-and-distal-1,tsshhuuu,1,0
water,44,558,remaining-proximal-and-distal-1,tssshhhh,1,0
water,44,558,remaining-proximal-and-distal-1,valve release,1,1
water,45,45,hand picked 1 seeds,splash,3,1
water,45,45,hand picked 1 seeds,atrishown,1,0
water,45,45,hand picked 1 seeds,balooshboosh,1,0
water,45,45,hand picked 1 seeds,blowosh,1,0
water,45,45,hand picked 1 seeds,buhlorghorgh,1,0
water,45,45,hand picked 1 seeds,fljushpah,1,0
water,45,45,hand picked 1 seeds,pkiluffa,1,0
water,45,45,hand picked 1 seeds,shirpahuhuh,1,0
water,45,45,hand picked 1 seeds,sloosh-splash,1,0
water,45,45,hand picked 1 seeds,sploosh,1,0
water,45,45,hand picked 1 seeds,splunge-plunge,1,0
water,45,45,hand picked 1 seeds,splush,1,0
water,45,45,hand picked 1 seeds,swash,1,1
water,45,45,hand picked 1 seeds,swoosh,1,1
water,45,45,hand picked 1 seeds,water,1,1
water,45,45,hand picked 1 seeds,water lapping on a shore,1,1
water,45,45,hand picked 1 seeds,wooshed,1,0
water,45,45,hand picked 1 seeds,wuuwaaa,1,0
water,45,52,first-gen-partial-1,aiwatchedoo,2,0
water,45,52,first-gen-partial-1,awakawush,1,0
water,45,52,first-gen-partial-1,awakshuashu,1,0
water,45,52,first-gen-partial-1,awwah-chowah,1,0
water,45,52,first-gen-partial-1,chawachawaaa,1,0
water,45,52,first-gen-partial-1,chawatchewchchch,1,0
water,45,52,first-gen-partial-1,chwacheaesh,1,0
water,45,52,first-gen-partial-1,chwaschchweewwt,1,0
water,45,52,first-gen-partial-1,cuwatchuwehu,1,0
water,45,52,first-gen-partial-1,guwahshuwah,1,0
water,45,52,first-gen-partial-1,gwakeran,1,0
water,45,52,first-gen-partial-1,i want you hear,1,1
water,45,52,first-gen-partial-1,iwatchedyouwhe,1,0
water,45,52,first-gen-partial-1,kehwechhhhheweh,1,0
water,45,52,first-gen-partial-1,kwaheowhee,1,0
water,45,52,first-gen-partial-1,oowahchowie,1,0
water,45,95,first-gen-partial-1,glongglong,4,0
water,45,95,first-gen-partial-1,glong,3,0
water,45,95,first-gen-partial-1,glong-glong,2,0
water,45,95,first-gen-partial-1,glonglon,2,0
water,45,95,first-gen-partial-1,glonglong,2,0
water,45,95,first-gen-partial-1,flour glour,1,0
water,45,95,first-gen-partial-1,glalum glalum,1,0
water,45,95,first-gen-partial-1,gloaughgloaugh,1,0
water,45,95,first-gen-partial-1,glolng-glolng,1,0
water,45,95,first-gen-partial-1,glom,1,0
water,45,95,first-gen-partial-1,glongclong,1,0
water,45,95,first-gen-partial-1,glongloong,1,0
water,45,95,first-gen-partial-1,gloonggloong,1,0
water,45,95,first-gen-partial-1,gone,1,1
water,45,95,first-gen-partial-1,klomclom,1,0
water,45,95,first-gen-partial-1,klongklong,1,0
water,45,95,first-gen-partial-1,whool drowl,1,0
water,45,466,hand picked 1,glongglong,8,0
water,45,466,hand picked 1,glonglong,7,0
water,45,466,hand picked 1,glong glong,3,0
water,45,466,hand picked 1,glong-glong,2,0
water,45,466,hand picked 1,galonggalong,1,0
water,45,466,hand picked 1,glon glon,1,0
water,45,466,hand picked 1,glong,1,0
water,45,466,hand picked 1,glongalon,1,0
water,45,526,remaining-proximal-and-distal-1,howloudscow,12,0
water,45,526,remaining-proximal-and-distal-1,how louds cow,3,0
water,45,526,remaining-proximal-and-distal-1,alloudscow,1,0
water,45,526,remaining-proximal-and-distal-1,halowscow,1,0
water,45,526,remaining-proximal-and-distal-1,haulaudskau,1,0
water,45,526,remaining-proximal-and-distal-1,howloud's cow,1,0
water,45,526,remaining-proximal-and-distal-1,howlouschow,1,0
water,45,526,remaining-proximal-and-distal-1,howlowdscow,1,0
water,45,526,remaining-proximal-and-distal-1,howlowscow,1,0
zipper,46,46,remaining-proximal-and-distal-1,aaaooo,1,0
zipper,46,46,remaining-proximal-and-distal-1,biwv,1,0
zipper,46,46,remaining-proximal-and-distal-1,kazo,1,0
zipper,46,46,remaining-proximal-and-distal-1,oooooooiiiiuuu,1,0
zipper,46,46,remaining-proximal-and-distal-1,ppwwzzz,1,0
zipper,46,46,remaining-proximal-and-distal-1,rzryllllloo,1,0
zipper,46,46,remaining-proximal-and-distal-1,verw,1,0
zipper,46,46,remaining-proximal-and-distal-1,vwer,1,0
zipper,46,46,remaining-proximal-and-distal-1,werrrr,1,0
zipper,46,46,remaining-proximal-and-distal-1,zeeping,1,0
