branch_id,sound_x,sound_y,similarity
13,155,254,78.234909821522
35,155,254,78.234909821522
13,254,354,61.854427846229186
35,254,354,61.854427846229186
13,354,367,58.69091527725636
35,354,367,58.69091527725636
13,367,503,63.41580084525348
13,503,522,63.337429728403286
14,182,275,65.12709933764631
61,182,275,65.12709933764631
76,182,275,65.12709933764631
14,275,345,49.90266815433562
61,275,345,49.90266815433562
14,345,440,66.14681854936956
14,440,494,78.20693929130383
14,494,525,73.59806157990488
15,59,175,82.60705688544401
15,175,229,91.5028281265882
15,229,349,95.87209007658949
15,349,382,58.848486455336605
15,382,439,76.44192082070168
15,439,527,48.881819864646275
16,65,207,52.467180256073696
16,207,247,181.4896186221976
16,247,330,203.0575269073263
16,330,409,84.07770935524961
16,409,484,62.665784322588635
16,484,528,51.54622443196729
17,94,162,70.44010868124172
37,94,162,70.44010868124172
17,162,255,73.3771627405833
37,162,255,73.3771627405833
17,255,288,58.68622753669971
37,255,288,58.68622753669971
17,288,360,72.65268885843746
37,288,360,72.65268885843746
17,360,505,78.24726061304521
17,505,532,65.39924548771964
18,138,217,56.7028373898479
18,217,268,73.765679866132
18,268,335,72.90262928525827
18,335,420,85.05195317179806
18,420,486,91.04885101536189
18,486,537,59.694398278986036
19,86,185,49.61807265422726
19,185,238,49.37423638523759
19,238,302,55.707551934420806
19,302,390,64.14089270833958
19,390,444,79.98360829435515
19,444,543,73.31899090560717
20,114,189,81.5177857765542
20,189,260,61.20655607150248
20,260,346,65.66129645192451
20,346,417,49.69009104666198
20,417,454,54.10327444170596
20,454,546,58.312876159963864
21,110,176,55.87860577380914
21,176,282,95.45274135231513
21,282,356,87.23047995412865
21,356,413,50.376659761108186
21,413,433,58.97767328375213
21,433,550,67.82679533652532
22,72,256,61.71813580332787
22,256,358,53.90470097832131
22,358,411,71.21915019849284
22,411,491,71.01589671643139
22,491,549,61.19353739027475
22,549,556,69.59886040974457
23,132,202,72.43202926422595
23,202,212,61.25307457307502
23,212,313,55.29743806665114
23,313,391,58.22723952190362
23,391,435,70.55336934558571
23,435,557,87.33166145161665
24,118,158,96.6585834417651
24,158,244,70.94845258536229
24,244,350,45.2589473693969
24,350,374,71.75151737029908
24,374,430,78.24211109275657
24,430,561,64.8128236626567
25,63,251,50.31987748479063
25,251,344,55.86772358135756
25,344,384,74.00084976881605
25,384,469,72.3731704834504
25,469,529,53.588484430403675
25,529,562,61.10066725122287
26,90,193,58.43152235019776
83,90,193,58.43152235019776
26,193,265,137.82424746143255
26,265,290,161.4419734682151
26,290,387,71.45183031903424
26,387,488,69.24855009543984
26,488,565,57.33415117277117
27,101,284,78.84963754662999
27,284,321,73.40107318345086
27,321,427,84.54950587735006
27,427,471,80.14949626024409
27,471,533,55.20300874044995
27,533,566,50.73000411296995
28,269,319,37.05649759067795
28,319,385,50.80059949379636
28,385,425,96.14878845332778
29,53,187,75.10638992740316
29,187,227,75.96692164138636
29,227,283,82.78272169894784
29,283,415,72.15268485045989
29,415,426,74.49416119302941
30,117,198,69.27299110825538
30,198,223,73.52748216854094
30,223,338,60.3220993110298
30,338,377,52.86091718738647
30,377,446,85.31594201698448
31,89,154,64.09966520070886
31,154,241,74.70767491184105
31,241,322,75.93534440144988
31,322,392,78.25855661741473
31,392,453,86.61062010615932
32,139,146,63.24195332502757
62,139,146,63.24195332502757
32,146,218,73.058575583099
62,146,218,73.058575583099
32,218,342,71.72088139160537
62,218,342,71.72088139160537
32,342,443,107.88442073526357
32,443,461,113.24284678430934
33,113,174,78.19827515111038
33,174,257,73.11030578377799
33,257,294,47.17515448088344
33,294,366,46.47627619721758
